-55	0	2
-54	1	0
-53	1	0
-52	1	0
-51	0	0
-50	0	0
-49	3	0
-48	5	0
-47	1	0
-46	2	1
-45	2	2
-44	2	1
-43	3	1
-42	7	2
-41	2	3
-40	4	3
-39	2	3
-38	2	2
-37	5	6
-36	6	4
-35	7	3
-34	3	3
-33	1	2
-32	8	1
-31	6	2
-30	7	4
-29	6	4
-28	5	4
-27	2	2
-26	5	3
-25	8	3
-24	5	2
-23	5	4
-22	2	7
-21	7	3
-20	7	3
-19	5	9
-18	9	4
-17	8	4
-16	18	6
-15	15	8
-14	11	8
-13	8	7
-12	6	6
-11	11	7
-10	18	6
-9	14	6
-8	14	3
-7	15	2
-6	38	5
-5	39	0
-4	6	0
-3	0	0
-2	0	0
-1	0	0
0	48	0
1	31	0
2	81	0
3	75	0
4	112	0
5	60	0
6	24	7
7	17	8
8	12	4
9	12	2
10	14	7
11	18	6
12	9	5
13	9	8
14	13	5
15	10	3
16	4	4
17	8	1
18	5	3
19	9	1
20	8	4
21	8	1
22	9	6
23	6	7
24	9	1
25	12	5
26	10	3
27	4	4
28	10	3
29	10	6
30	9	5
31	7	4
32	6	3
33	7	1
34	5	2
35	5	3
36	3	2
37	1	0
38	2	0
39	5	0
40	7	0
41	4	0
42	5	1
43	3	0
44	5	2
45	5	3
46	0	0
47	1	0
48	1	0
49	1	1
50	0	1
51	2	2
52	3	0
53	1	0
54	0	0
55	0	0
